Row	Reel	Side	File	Start	End	Duration	NID	Title	DisType	TapeDuration	Genre	Sequence	Translation Available?	Include 3 transcriptions	Translation filename	Status	Comments	Prob?	TapeStart	TapeEnd	TapeLength	StartD	EndD			DurD	Ratio		Notes
1	1	1	1_1	00:00	02:08	02:08	1	Remarks on the Lahu	monologue	013-030	2	1	Y	Y	001_remarks_on_lahu.rtf	Entered	Background noise		13	30	17	0.0	128.0	x	1	128.0	0.13		
2	1	1	1_1	02:12	03:46	01:34	2	The Lahu way of life	monologue	033-045	2	2	Y	Y	002_dispersal_of_the_lahu_people.rtf	Entered	Barely audible at beginning		33	45	12	132.0	226.0	x	2	94.0	0.13		
3	1	1	1_1	03:50	04:44	00:53	3	Lahu writing	monologue	046-053	2	3	Y	Y	003_lahu_writing.rtf	Entered	Partly erased by mistake		46	53	7	230.0	284.0	x	3	53.0	0.13		
4	1	1	1_1	04:45	12:55	08:09	4	Elicitation of individual vocabulary items		055-124	x			Y	(NOT USING)	Entered	each item pronounced 3 times		55	124	69	285.0	775.0	x	4	489.0	0.14		
5	1	1	1_1	12:56	19:25	06:29	5	Bible reading (Mark 1:1-17)		125-182	18	1		Y	005_mark_1_1-17.rtf	Entered			125	182	57	776.0	1165.0	x	5	389.0	0.15		
6	1	1	1_3	00:04	04:41	04:37	6	Bible reading (I Corinthians 13:1-13)		210-254	18	2		Y	006_1_corinthians_13_1-13.rtf	Entered			210	254	44	4.0	281.0	x		277.0	0.16		
7	1	1	1_3	04:44	07:55	03:11	7	Candid conversation		255-286	3	1		Y	(NOT USING)	Unusable	Inaudible until 262		255	286	31	284.0	475.0	x		191.0	0.16		
8	1	1	1_3	07:55	12:28	04:32	8	A Lahu hunting expedition	playlet	287-333	4	1	Y	Y	008_a_lahu_hunting_expedition.rtf 	Entered	Also Lh. fair copy		287	333	46	475.0	748.0	x	8	272.0	0.17		
9	1	1	1_3	12:33	24:13	11:40	9	Agriculture and livelihood	discussion	334-413	4	2	Y	Y	009_agriculture_and_the_need_for_unity.rtf, 009to10_agriculture_and_the_need_for_unity.rtf, 010_agriculture_and_the_need_for_unity.rt	Entered	Also Lh. fair copy	x	334	413	79	753.0	1453.0	x	9	700.0	0.11		
10	1	1	1_3	24:15	27:07	02:51	11	Hymn		482-516	x			Y	(NOT USING)				482	516	34	1455.0	1627.0	x		171.0	0.20		
11	1	1	1_3	27:07	31:02	03:54	12	The Widow and the Pharisees	sermon	517-567	17	1	Y	Y	012a_sermon_the_widows_mites.rtf	Entered	Also with fair Lh. copy; with relevant Bible passage added		517	567	50	1627.0	1862.0	x	12	234.0	0.21		
12	1	1	1_3	31:02	32:42	01:39	13	Hymn: "Jesus Save Us"		568-590	19	2		Y	(this is not transcribed or really translated) 013a_sermon_the_widows_mites.rtf	Defer			568	590	22	1862.0	1962.0	x		99.0	0.22		
